Name,NetWorth,Country,Continent,Source,Continent_Rank,Rank,Age Range,Industry,,Age
Alexey Mordashov & family,29.1,Russia,Europe,"steel, investments",10,51,50,Metals & Mining,,55
Alexey Repik,2.6,Russia,,pharmaceuticals,,1205,40,Healthcare,,41
Alexis Lê-Quôc,1.9,United States,,cloud computing,,1664,40,Technology,,46
Alfred Gantner,2.9,Switzerland,,private equity,,1064,50,Finance & Investments,,53
Alfred Oetker,2.8,Germany,,consumer goods,,1111,50,Fashion & Retail,,54
"Alfred West, Jr.",1.4,United States,,money management,,2141,70,Finance & Investments,,78
Alfredo Egydio Arruda Villela Filho,1.6,Brazil,,banking,,1931,50,Finance & Investments,,51
Alfredo Harp Helu & family,1.2,Mexico,,banking,,2378,70,Finance & Investments,,77
Ali Erdemoglu,1.8,Turkey,,carpet,,1750,60,Manufacturing,,61
Ali Ghodsi,1.8,Sweden,,data analytics,,1750,40,Technology,,42
Alice Schwartz,2.4,United States,,biotech,,1299,90,Healthcare,,94
Alice Walton,61.8,United States,,Walmart,11,17,70,Fashion & Retail,,71
Alicia Koplowitz,2.8,Spain,,"construction, investments",,1111,60,Finance & Investments,,67
Aliko Dangote,11.5,Nigeria,Africa,"cement, sugar",1,191,60,Manufacturing,,63
Alisher Usmanov,18.4,Russia,,"steel, telecom, investments",,99,60,Metals & Mining,,67
Allan Goldman,3,United States,,real estate,,1008,70,Real Estate,,78
Allan Wong,1.2,Hong Kong,,electronics,,2378,70,Manufacturing,,71
Aloke Lohia,2.6,India,,petrochemicals,,1205,60,Manufacturing,,62
Aloys Wobben,6.8,Germany,,wind turbines,,384,60,Energy,,69
Alvaro Saieh Bendeck,1.8,Chile,,banking,,1750,70,Finance & Investments,,71
Amancio Ortega,77,Spain,Europe,Zara,2,11,80,Fashion & Retail,,85
Amit Burman,1.6,India,,consumer goods,,1931,50,Food & Beverage,,51
Amnon Shashua,1.4,Israel,,automotive technology,,2141,60,Automotive,,60
"Amos Hostetter, Jr.",3.8,United States,,cable television,,775,80,Media & Entertainment,,84
Amy Goldman Fowler,3,United States,,real estate,,1008,60,Real Estate,,66
Amy Wyss,2,United States,,medical equipment,,1580,50,Healthcare,,50
An Kang,5.4,China,,pharmaceuticals,,520,70,Healthcare,,72
Ana Lucia de Mattos Barretto Villela,1.4,Brazil,,banking,,2141,40,Finance & Investments,,47
Ana Maria Brescia Cafferata,1.3,Peru,,"mining, banking",,2263,90,Diversified,,96
Anand Burman,2.3,India,,consumer goods,,1362,60,Food & Beverage,,68
Anand Mahindra,1.9,India,,diversified,,1664,60,Diversified,,65
Ananda Krishnan,5.8,Malaysia,,"telecoms, media, oil-services",,476,80,Telecom,,83
Anant Asavabhokin,1.2,Thailand,,real estate,,2378,70,Real Estate,,70
Anatoly Lomakin,1.4,Russia,,investments,,2141,60,Metals & Mining,,68
Anatoly Sedykh,1.3,Russia,,steel pipes,,2263,50,Metals & Mining,,56
Anders Holch Povlsen,13.2,Denmark,,fashion retail,,161,40,Fashion & Retail,,48
André Kasprzak,1.3,Denmark,,shoes,,2263,30,Fashion & Retail,,34
André Street,2.5,Brazil,,fintech,,1249,30,Technology,,36
Andre Esteves,4.5,Brazil,,banking,,638,50,Finance & Investments,,52
"Andre Koo, Sr.",3.3,Taiwan,,financial services,,925,50,Finance & Investments,,53
Andreas Halvorsen,6.3,Norway,,hedge funds,,421,50,Finance & Investments,,59
Andreas Pohl,1.4,Germany,,mutual funds,,2141,50,Finance & Investments,,56
Andreas Struengmann & family,11,Germany,,pharmaceuticals,,200,70,Healthcare,,71
Andreas von Bechtolsheim & family,8.2,Germany,,Google,,304,60,Technology,,65
Andrei Bokarev,2.5,Russia,,"metals, mining",,1249,50,Manufacturing,,54
Andrei Guriev & family,6,Russia,,fertilizers,,451,60,Manufacturing,,61
Andrei Komarov,1.2,Russia,,manufacturing,,2378,50,Manufacturing,,54
Andrei Kosogov,1.4,Russia,,Banking,,2141,60,Energy,,60
Andrei Kozitsyn,6.3,Russia,,metals,,421,60,Metals & Mining,,60
Andrei Molchanov,1.2,Russia,,construction materials,,2378,40,Construction & Engineering,,49
Andrei Rappoport,1.2,Russia,,investments,,2378,50,Finance & Investments,,57
Andrei Skoch & family,8.6,Russia,,steel,,288,50,Metals & Mining,,55
Andrej Babis,3.5,Czechia,,agriculture,,859,60,Food & Beverage,,66
Andres Santo Domingo,1.7,United States,,beer,,1833,40,Food & Beverage,,42
Andrew & Peggy Cherng,2.1,United States,,restaurants,,1517,N/A,Food & Beverage,,N/A
Andrew Beal,7.9,United States,,"banks, real estate",,311,60,Finance & Investments,,68
Andrew Currie,5.7,United Kingdom,,chemicals,,486,60,Manufacturing,,65
Andrew Forrest,20.4,Australia,Oceania,mining,2,87,50,Metals & Mining,,59
Andrew Paradise,2.3,United States,,★,,1362,30,Media & Entertainment,,38
Andrew Tan,3,Philippines,,diversified,,1008,70,Diversified,,71
Andrey Andreev,1.9,United Kingdom,,online dating,,1664,40,Technology,,47
Andrey Blokh,1.9,Russia,,cannabis,,1664,50,Manufacturing,,57
Andrey Melnichenko,17.9,Russia,,"coal, fertilizers",,105,40,Energy,,49
Andy Fang,2,United States,,food delivery app,,1580,20,Technology,,28
Aneel Bhusri,2.8,United States,,business software,,1111,50,Technology,,55
Angela Bennett,1.4,Australia,,mining,,2141,70,Metals & Mining,,77
Angela Leong,3.4,Hong Kong,,casinos,,891,60,Real Estate,,60
Anil Agarwal & family,3.6,India,,"mining, metals",,831,60,Metals & Mining,,67
Anita Zucker,1.9,United States,,chemicals,,1664,60,Manufacturing,,69
Ann Walton Kroenke,8.4,United States,,Walmart,,294,70,Fashion & Retail,,72
Anna Kasprzak,1.3,Denmark,,shoes,,2263,30,Fashion & Retail,,31
Anna Katharina Viessmann,2.2,Germany,,heating and cooling equipment,,1444,N/A,Manufacturing,,N/A
Anna Maria Braun,1.4,Germany,,medical technology,,2141,40,Healthcare,,42
Anne Beaufour,2,France,,pharmaceuticals,,1580,50,Healthcare,,57
Anne Gittinger,1.1,United States,,Nordstrom department stores,,2524,80,Fashion & Retail,,85
Anne Werninghaus,1.1,Brazil,,industrial machinery,,2524,30,Manufacturing,,35
Anthony Bamford & family,7.9,United Kingdom,,construction equipment,,311,70,Construction & Engineering,,75
Anthony Eisen,1.8,Australia,,fintech,,1750,40,Finance & Investments,,49
Anthony Hsieh,2.6,United States,,mortgage lender,,1205,50,Finance & Investments,,56
Anthony Langley,1.5,United Kingdom,,manufacturing,,2035,60,Diversified,,66
Anthony Pratt,10.8,Australia,Oceania,manufacturing,6,205,60,Manufacturing,,60
Anthony Pritzker,3.6,United States,,"hotels, investments",,831,60,Service,,60
Anthony von Mandl,8.7,Canada,,alcoholic beverages,,274,N/A,Food & Beverage,,N/A
Anthony Wood,7.1,United States,,Roku,,358,50,Technology,,55
Anton Rabie,1,Canada,,toys,,2674,40,Manufacturing,,49
Antonia Ax:son Johnson & family,7.4,Sweden,,diversified,,339,70,Diversified,,77
Antonio Del Valle Ruiz & family,3.1,Mexico,,chemicals,,986,80,Manufacturing,,82
Antonio Gallardo Ballart,1.1,Spain,,pharmaceuticals,,2524,80,Healthcare,,85
Antonio Luiz Seabra,2.4,Brazil,,cosmetics,,1299,70,Fashion & Retail,,78
Antonio Marcegaglia,1.4,Italy,,steel,,2141,50,Metals & Mining,,57
Antonio Percassi,1.3,Italy,,"real estate, diversified",,2263,60,Diversified,,67
Antony Ressler,4.3,United States,,finance,,665,50,Finance & Investments,,59
Antti Aarnio-Wihuri,1.5,Finland,,diversified,,2035,80,Diversified,,81
Antti Herlin,6.5,Finland,,"elevators, escalators",,404,60,Manufacturing,,64
Anu Aga,1.4,India,,engineering,,2141,70,Construction & Engineering,,78
Anurang Jain,1.7,India,,auto parts,,1833,50,Manufacturing,,59
Apoorva Mehta,3.5,Canada,,grocery delivery service,,859,30,Technology,,34
Aras Agalarov,1.2,Russia,,real estate,,2378,60,Fashion & Retail,,65
Archie Aldis Emmerson & family,3.2,United States,,"timberland, lumber mills",,956,90,Manufacturing,,91
Archie Hwang,1.4,Taiwan,,semiconductors,,2141,60,Technology,,68
Aristotelis Mistakidis,2.3,Greece,,"mining, commodities",,1362,50,Metals & Mining,,59
Arkady Rotenberg,2.9,Russia,,"construction, pipes, banking",,1064,60,Construction & Engineering,,69
Arkady Volozh,2.3,Russia,,search engine,,1362,50,Media & Entertainment,,57
Arnon Milchan,3.4,Israel,,movie making,,891,70,Media & Entertainment,,76
Arnout Schuijff,3.5,Netherlands,,payments software,,859,50,Technology,,53
Artem Khachatryan,3.1,Russia,,retail,,986,40,Fashion & Retail,,46
Arthur Blank,6.2,United States,,Home Depot,,432,70,Sports,,78
Arthur Irving,1.9,Canada,,oil,,1664,90,Energy,,91
Arthur Xiaobo Hong,2.1,China,,e-commerce,,1517,40,Fashion & Retail,,49
Arturo Moreno,3.4,United States,,"billboards, Anaheim Angels",,891,70,Sports,,74
Arun Bharat Ram,1.8,India,,chemicals,,1750,80,Manufacturing,,80
Arvind Lal,1.5,India,,medical diagnostics,,2035,70,Healthcare,,71
Arvind Poddar,2.2,India,,tires,,1444,60,Automotive,,63
Arvind Tiku,2,India,,"oil & gas, investments",,1580,50,Energy,,51
Ashok Kajaria,1,India,,tiles,,2674,70,Manufacturing,,73
Ashwin Dani & family,6.3,India,,paints,,421,70,Manufacturing,,78
Asok Kumar Hiranandani,1.6,Singapore,,real estate,,1931,60,Real Estate,,66
August Oetker,2.8,Germany,,consumer goods,,1111,70,Fashion & Retail,,76
August Troendle,1.5,United States,,pharmaceutical services,,2035,60,Healthcare,,65
August von Finck,8.8,Germany,,investments,,269,90,Finance & Investments,,91
Augusto & Giorgio Perfetti,5.8,Italy,,candy,,476,N/A,Food & Beverage,,N/A
"Austen Cargill, II.",3.6,United States,,Cargill,,831,70,Food & Beverage,,70
Austin Russell,2.4,United States,,★,,1299,20,Automotive,,26
Axel Oberwelland,6.3,Germany,,candy,,421,50,Food & Beverage,,54
Axel Stawski,1,United States,,real estate,,2674,70,Real Estate,,70
Aydin Dogan,1.2,Turkey,,media,,2378,80,Media & Entertainment,,84
Ayman Hariri,1.3,Lebanon,,"construction, investments",,2263,40,Construction & Engineering,,42
Azim Premji,8.6,India,,software services,,288,70,Technology,,75
Aziz Akhannouch & family,1.9,Morocco,,"petroleum, diversified",,1664,60,Diversified,,60
B. Wayne Hughes,3.3,United States,,self storage,,925,80,Service,,87
"B. Wayne Hughes, Jr.",1.6,United States,,storage facilities,,1931,60,Real Estate,,60
Baba Kalyani,2.3,India,,engineering,,1362,70,Construction & Engineering,,72
Bahaa Hariri,2,Lebanon,,"real estate, investments",,1580,50,Real Estate,,54
Bai Baokun,2.8,China,,hardware,,1111,50,Manufacturing,,51
Bai Houshan,1.1,China,,lithium battery,,2524,50,Energy,,57
Baiju Bhatt,1,United States,,stock trading app,,2674,30,Finance & Investments,,36
Bajaj brothers,7,India,,diversified,,369,N/A,Diversified,,N/A
Balkrishan Goenka,1.4,India,,textiles,,2141,50,Manufacturing,,54
Bang Jun-hyuk,2.3,South Korea,,online gaming,,1362,50,Technology,,52
Bang Shi-hyuk,2.3,South Korea,,entertainment,,1362,40,Media & Entertainment,,48
Banwari Lal Bawri,2.6,India,,pharmaceuticals,,1205,60,Healthcare,,68
