Country,longitude,latitude,Count,Population,BP
French Polynesia,,,0,"280,908",0
Gabon,,,0,"2,225,734",0
Gambia,,,0,"2,416,668",0
Ghana,,,0,"31,072,940",0
Gibraltar,,,0,"33,691",0
Greenland,,,0,"56,770",0
Grenada,,,0,"112,523",0
Guadeloupe,,,0,"400,124",0
Guam,,,0,"168,775",0
Guatemala,,,0,"17,915,568",0
Guinea,,,0,"13,132,795",0
Guinea-Bissau,,,0,"1,968,001",0
Guyana,,,0,"786,552",0
Haiti,,,0,"11,402,528",0
Honduras,,,0,"9,904,607",0
Iran,,,0,"83,992,949",0
Iraq,,,0,"40,222,493",0
Isle of Man,,,0,"85,033",0
Jamaica,,,0,"2,961,167",0
Jordan,,,0,"10,203,134",0
Kenya,,,0,"53,771,296",0
Kiribati,,,0,"119,449",0
Kuwait,,,0,"4,270,571",0
Kyrgyzstan,,,0,"6,524,195",0
Laos,,,0,"7,275,560",0
Latvia,,,0,"1,886,198",0
Lesotho,,,0,"2,142,249",0
Liberia,,,0,"5,057,681",0
Libya,,,0,"6,871,292",0
Lithuania,,,0,"2,722,289",0
Luxembourg,,,0,"625,978",0
Madagascar,,,0,"27,691,018",0
Malawi,,,0,"19,129,952",0
Maldives,,,0,"540,544",0
Mali,,,0,"20,250,833",0
Malta,,,0,"441,543",0
Marshall Islands,,,0,"59,190",0
Martinique,,,0,"375,265",0
Mauritania,,,0,"4,649,658",0
Mauritius,,,0,"1,271,768",0
Micronesia,,,0,"548,914",0
Moldova,,,0,"4,033,963",0
Mongolia,,,0,"3,278,290",0
Montenegro,,,0,"628,066",0
Montserrat,,,0,"4,992",0
Mozambique,,,0,"31,255,435",0
Myanmar,,,0,"54,409,800",0
Namibia,,,0,"2,540,905",0
Nauru,,,0,"10,824",0
New Caledonia,,,0,"285,498",0
Nicaragua,,,0,"6,624,554",0
Niger,,,0,"24,206,644",0
North Korea,,,0,"25,778,816",0
North Macedonia,,,0,"2,083,374",0
Northern Mariana Islands,,,0,"57,559",0
Pakistan,,,0,"220,892,340",0
Palau,,,0,"18,094",0
Panama,,,0,"4,314,767",0
Papua New Guinea,,,0,"8,947,024",0
Paraguay,,,0,"7,132,538",0
Puerto Rico,,,0,"2,860,853",0
Rwanda,,,0,"12,952,218",0
